reporting_week,reporting_month,reporting_quarter,reporting_year,product_group_l1,product_name,product,region,country,channel,channel_type,customer_segment,acquisition_channel,customer_type,volume,revenue
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,466501,128230
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,307768,83244
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,203386,57484
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,70071,18885
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,1058206,308036
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,630669,194502
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,376084,111837
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,165041,48336
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,340266,69395
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,242445,50686
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,134503,27448
2023-02-06,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,53206,10567
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,307763,106515
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,192365,69364
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,112529,40810
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,49626,16838
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,508718,149115
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,354302,100966
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,199503,53824
2023-02-06,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,77204,21448
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,969796,291444
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,690566,203926
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,432889,136036
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,157532,45093
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,348169,72505
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,235027,46054
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,143009,28621
2023-02-13,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,57630,12009
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,305094,105333
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,203512,69175
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,114233,38496
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,47267,17139
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,550062,147502
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,316779,88675
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,210805,57455
2023-02-13,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,85255,24452
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,936036,267701
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,724708,228256
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,434400,124581
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,168028,51768
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,353008,73452
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,249396,51413
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,132856,26989
2023-02-20,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,55772,11538
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,296854,99573
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,198104,67291
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,130327,47861
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,47801,16026
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,507757,147169
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,324224,92860
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,208140,56331
2023-02-20,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,84344,23432
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,1071030,326291
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,638574,188960
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,405908,124963
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,161888,48137
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,350338,70218
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,225583,46732
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,132732,26074
2023-02-27,2023-02-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,52444,10022
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,302763,106941
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,207664,70255
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,128369,46906
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,48997,17716
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,557131,160404
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,363931,96936
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,214754,63063
2023-02-27,2023-02-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,75730,21886
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,1134328,342642
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,781985,236632
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,460279,144428
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,168819,52995
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,381673,79360
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,257949,50847
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,155458,30930
2023-03-06,2023-03-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,57191,11357
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,333400,113370
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,233872,77835
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,141772,48327
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,52927,17835
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,523909,148776
2023-03-06,2023-03-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,369441,103665
